Domain,Type,Sponsoring Organisation,Date
.tours,generic,"Sugar Station, LLC",2026-02-10
.town,generic,"Koko Moon, LLC",2026-02-10
.toys,generic,"Pioneer Orchard, LLC",2026-02-10
.trade,generic,Elite Registry Limited,2026-02-10
.trading,generic,DOTTRADING REGISTRY LTD,2026-02-10
.training,generic,"Wild Willow, LLC",2026-02-10
.trust,generic,Artemis Internet Inc,2026-02-10
.tui,generic,TUI AG,2026-02-10
.university,generic,"Little Station, LLC",2026-02-10
.uno,generic,Dot Latin LLC,2026-02-10
.uol,generic,UBN INTERNET LTDA.,2026-02-10
.vacations,generic,"Atomic Tigers, LLC",2026-02-10
.vegas,generic,"Dot Vegas, Inc.",2026-02-10
.ventures,generic,"Binky Lake, LLC",2026-02-10
.versicherung,generic,dotversicherung-registry GmbH,2026-02-10
.vet,generic,"United TLD Holdco, Ltd",2026-02-10
.viajes,generic,"Black Madison, LLC",2026-02-10
.video,generic,"United TLD Holdco, Ltd",2026-02-10
.villas,generic,"New Sky, LLC",2026-02-10
.vision,generic,"Koko Station, LLC",2026-02-10
.vlaanderen,generic,DNS.be vzw,2026-02-10
.vodka,generic,Top Level Domain Holdings Limited,2026-02-10
.vote,generic,Monolith Registry LLC,2026-02-10
.voting,generic,Valuetainment Corp.,2026-02-10
.voto,generic,Monolith Registry LLC,2026-02-10
.voyage,generic,"Ruby House, LLC",2026-02-10
.wales,generic,Nominet UK,2026-02-10
.wang,generic,Zodiac Registry Limited,2026-02-10
.watch,generic,"Sand Shadow, LLC",2026-02-10
.webcam,generic,dot Webcam Limited,2026-02-10
.website,generic,DotWebsite Inc.,2026-02-10
.wed,generic,"Atgron, Inc.",2026-02-10
.wedding,generic,Top Level Domain Holdings Limited,2026-02-10
.whoswho,generic,Who's Who Registry,2026-02-10
.wien,generic,punkt.wien GmbH,2026-02-10
.wiki,generic,"Top Level Design, LLC",2026-02-10
.williamhill,generic,William Hill Organization Limited,2026-02-10
.win,generic,First Registry Limited,2026-02-10
.wme,generic,"William Morris Endeavor Entertainment, LLC",2026-02-10
.work,generic,Top Level Domain Holdings Limited,2026-02-10
.works,generic,"Little Dynamite, LLC",2026-02-10
.world,generic,"Bitter Fields, LLC",2026-02-10
.wtc,generic,"World Trade Centers Association, Inc.",2026-02-10
.wtf,generic,"Hidden Way, LLC",2026-02-10
.xin,generic,Elegant Leader Limited,2026-02-10
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2026-02-10
.慈善,generic,Excellent First Limited,2026-02-10
.集团,generic,Eagle Horizon Limited,2026-02-10
.在线,generic,TLD REGISTRY LIMITED,2026-02-10
.八卦,generic,Zodiac Scorpio Limited,2026-02-10
.موقع,generic,Suhub Electronic Establishment,2026-02-10
.公益,generic,China Organizational Name Administration Center,2026-02-10
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2026-02-10
.移动,generic,Afilias Limited,2026-02-10
.我爱你,generic,Tycoon Treasure Limited,2026-02-10
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2026-02-10
.онлайн,generic,CORE Association,2026-02-10
.сайт,generic,CORE Association,2026-02-10
.时尚,generic,RISE VICTORY LIMITED,2026-02-10
.淡马锡,generic,Temasek Holdings (Private) Limited,2026-02-10
.орг,generic,Public Interest Registry,2026-02-10
.삼성,generic,"SAMSUNG SDS CO., LTD",2026-02-10
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2026-02-10
.商店,generic,"Wild Island, LLC",2026-02-10
.商城,generic,Zodiac Aquarius Limited,2026-02-10
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2026-02-10
.中文网,generic,TLD REGISTRY LIMITED,2026-02-10
.中信,generic,CITIC Group Corporation,2026-02-10
.谷歌,generic,Charleston Road Registry Inc.,2026-02-10
.网店,generic,Zodiac Libra Limited,2026-02-10
.संगठन,generic,Public Interest Registry,2026-02-10
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2026-02-10
.飞利浦,generic,Koninklijke Philips N.V.,2026-02-10
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2026-02-10
.بازار,generic,CORE Association,2026-02-10
.政府,generic,"Net-Chinese Co., Ltd.",2026-02-10
.شبكة,generic,International Domain Registry Pty. Ltd.,2026-02-10
.机构,generic,Public Interest Registry,2026-02-10
.组织机构,generic,Public Interest Registry,2026-02-10
.健康,generic,Stable Tone Limited,2026-02-10
.рус,generic,Rusnames Limited,2026-02-10
.みんな,generic,Charleston Road Registry Inc.,2026-02-10
.グーグル,generic,Charleston Road Registry Inc.,2026-02-10
.世界,generic,Stable Tone Limited,2026-02-10
.网址,generic,"KNET Co., Ltd",2026-02-10
.游戏,generic,"Spring Fields, LLC",2026-02-10
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2026-02-10
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2026-02-10
.企业,generic,"Dash McCook, LLC",2026-02-10
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2026-02-10
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2026-02-10
.政务,generic,China Organizational Name Administration Center,2026-02-10
.xyz,generic,XYZ.COM LLC,2026-02-10
.yachts,generic,"DERYachts, LLC",2026-02-10
.yandex,generic,"YANDEX, LLC",2026-02-10
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2026-02-10
.yoga,generic,Top Level Domain Holdings Limited,2026-02-10
.yokohama,generic,"GMO Registry, Inc.",2026-02-10
.youtube,generic,Charleston Road Registry Inc.,2026-02-10
.zip,generic,Charleston Road Registry Inc.,2026-02-10
.zone,generic,"Outer Falls, LLC",2026-02-10
.zuerich,generic,Kanton Zürich (Canton of Zurich),2026-02-10
