Domain,Type,Sponsoring Organisation,Date
.credit,generic,"Snow Shadow, LLC",2026-02-10
.creditcard,generic,"Binky Frostbite, LLC",2026-02-10
.cricket,generic,dot Cricket Limited,2026-02-10
.crs,generic,Federated Co-operatives Limited,2026-02-10
.cruises,generic,"Spring Way, LLC",2026-02-10
.cuisinella,generic,SALM S.A.S.,2026-02-10
.cymru,generic,Nominet UK,2026-02-10
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2026-02-10
.dabur,generic,Dabur India Limited,2026-02-10
.dad,generic,Charleston Road Registry Inc.,2026-02-10
.dance,generic,United TLD Holdco Ltd.,2026-02-10
.date,generic,dot Date Limited,2026-02-10
.dating,generic,"Pine Fest, LLC",2026-02-10
.datsun,generic,"NISSAN MOTOR CO., LTD.",2026-02-10
.day,generic,Charleston Road Registry Inc.,2026-02-10
.dclk,generic,Charleston Road Registry Inc.,2026-02-10
.deals,generic,"Sand Sunset, LLC",2026-02-10
.degree,generic,"United TLD Holdco, Ltd",2026-02-10
.delivery,generic,"Steel Station, LLC",2026-02-10
.democrat,generic,United TLD Holdco Ltd.,2026-02-10
.dental,generic,"Tin Birch, LLC",2026-02-10
.dentist,generic,"United TLD Holdco, Ltd",2026-02-10
.desi,generic,Desi Networks LLC,2026-02-10
.design,generic,"Top Level Design, LLC",2026-02-10
.dev,generic,Charleston Road Registry Inc.,2026-02-10
.diamonds,generic,"John Edge, LLC",2026-02-10
.diet,generic,"Uniregistry, Corp.",2026-02-10
.digital,generic,"Dash Park, LLC",2026-02-10
.direct,generic,"Half Trail, LLC",2026-02-10
.directory,generic,"Extra Madison, LLC",2026-02-10
.discount,generic,"Holly Hill, LLC",2026-02-10
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2026-02-10
.docs,generic,Charleston Road Registry Inc.,2026-02-10
.doha,generic,Communications Regulatory Authority (CRA),2026-02-10
.domains,generic,"Sugar Cross, LLC",2026-02-10
.doosan,generic,Doosan Corporation,2026-02-10
.download,generic,dot Support Limited,2026-02-10
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2026-02-10
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2026-02-10
.eat,generic,Charleston Road Registry Inc.,2026-02-10
.education,generic,"Brice Way, LLC",2026-02-10
.email,generic,"Spring Madison, LLC",2026-02-10
.emerck,generic,Merck KGaA,2026-02-10
.energy,generic,"Binky Birch, LLC",2026-02-10
.engineer,generic,United TLD Holdco Ltd.,2026-02-10
.engineering,generic,Romeo Canyon,2026-02-10
.enterprises,generic,"Snow Oaks, LLC",2026-02-10
.epson,generic,Seiko Epson Corporation,2026-02-10
